"[0, 1, 0, 0.29238041595804914, 0, 0]","[0, 1, 0, 0.29238041595804914, 14, 2280715]","[0, 1, 0, 0.29238041595804914, 6, 4663934]","[0, 1, 0, 0.29238041595804914, 5, 155388]","[0, 1, 0, 0.29238041595804914, 7, 91596]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 7, 61838]","[0, 1, 0, 0.0, 5, 440983]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 628079]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 642223]"
"[0, 1, 3, 1.8550337827306764, 0, 0]","[0, 1, 3, 1.8550337827306764, 0, 0]","[0, 1, 3, 1.8550337827306764, 14, 749915]","[0, 1, 3, 1.8550337827306764, 5, 2644291]","[0, 1, 3, 1.8550337827306764, 7, 75112]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 14, 870465]","[0, 1, 0, 0.0, 5, 2809450]","[0, 1, 0, 0.0, 7, 655627]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 7, 656375]","[0, 1, 0, 0.0, 5, 2811350]"
"[0, 1, 0, 0.0, 3, 2531891]","[0, 1, 0, 0.0, 1, 34956]","[0, 1, 0, 0.0, 5, 3075071]","[0, 1, 0, 0.0, 7, 668205]","[0, 1, 0, 0.0, 3, 1859068]"
"[0, 1, 0, 0.0, 3, 1950727]","[0, 1, 0, 0.0, 3, 2624681]","[0, 1, 0, 0.0, 4, 1776779]","[0, 1, 0, 0.0, 5, 3128066]","[0, 1, 0, 0.0, 7, 676508]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 7, 792537]","[0, 1, 0, 0.0, 14, 952494]","[0, 1, 0, 0.0, 5, 3678411]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 4240429]","[0, 1, 0, 0.0, 7, 795767]","[0, 1, 0, 0.0, 3, 2057304]","[0, 1, 0, 0.0, 14, 961473]"
"[0, 1, 0, 0.0, 14, 1135275]","[0, 1, 0, 0.0, 10, 64808]","[0, 1, 0, 0.0, 3, 2819976]","[0, 1, 0, 0.0, 7, 802939]","[0, 1, 0, 0.0, 5, 4424774]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 4460130]","[0, 1, 0, 0.0, 7, 807488]","[0, 1, 0, 0.0, 3, 2099200]"
